# Lorenz equation output (maxtime=30) 
# Time x1 x2 
  0.00 1 1 1
  0.01 1.0111 1.2298 0.99128
  0.02 1.0431 1.4626 0.98533
  0.03 1.0946 1.7031 0.98255
  0.04 1.1646 1.9557 0.98354
  0.05 1.2528 2.2247 0.98905
  0.06 1.3591 2.5142 1.0001
  0.07 1.484 2.8282 1.0178
  0.08 1.6282 3.1708 1.0439
  0.09 1.7929 3.5463 1.08
  0.10 1.9794 3.9591 1.1287
  0.11 2.1895 4.4137 1.1927
  0.12 2.425 4.915 1.2756
  0.13 2.6883 5.4677 1.3816
  0.14 2.9818 6.0772 1.5162
  0.15 3.3083 6.7484 1.6858
  0.16 3.6708 7.4865 1.8982
  0.17 4.0725 8.2962 2.163
  0.18 4.5167 9.1819 2.4916
  0.19 5.0067 10.147 2.8977
  0.20 5.5457 11.192 3.3975
  0.21 6.1369 12.318 4.01
  0.22 6.7827 13.52 4.7567
  0.23 7.4848 14.79 5.6624
  0.24 8.2437 16.113 6.7535
  0.25 9.0579 17.467 8.0583
  0.26 9.9238 18.821 9.6045
  0.27 10.834 20.13 11.417
  0.28 11.779 21.341 13.514
  0.29 12.741 22.385 15.904
  0.30 13.699 23.183 18.576
  0.31 14.628 23.652 21.498
  0.32 15.493 23.708 24.61
  0.33 16.258 23.278 27.825
  0.34 16.883 22.313 31.024
  0.35 17.331 20.8 34.071
  0.36 17.567 18.771 36.824
  0.37 17.565 16.304 39.153
  0.38 17.313 13.518 40.959
  0.39 16.809 10.559 42.186
  0.40 16.07 7.5798 42.828
  0.41 15.122 4.7207 42.93
  0.42 14.003 2.0944 42.57
  0.43 12.755 -0.22291 41.849
  0.44 11.422 -2.1924 40.874
  0.45 10.045 -3.808 39.745
  0.46 8.6627 -5.0878 38.545
  0.47 7.3046 -6.0659 37.34
  0.48 5.9956 -6.7838 36.177
  0.49 4.7537 -7.2848 35.087
  0.50 3.5911 -7.6101 34.085
  0.51 2.5152 -7.7964 33.178
  0.52 1.5294 -7.8751 32.364
  0.53 0.634 -7.872 31.64
  0.54 -0.17277 -7.8081 30.996
  0.55 -0.89443 -7.7 30.424
  0.56 -1.5355 -7.5609 29.914
  0.57 -2.1013 -7.4009 29.457
  0.58 -2.5973 -7.2279 29.044
  0.59 -3.0293 -7.048 28.668
  0.60 -3.403 -6.8661 28.322
  0.61 -3.7238 -6.6857 28
  0.62 -3.9971 -6.5097 27.698
  0.63 -4.2279 -6.3404 27.412
  0.64 -4.4211 -6.1795 27.137
  0.65 -4.581 -6.0283 26.872
  0.66 -4.7119 -5.8877 26.614
  0.67 -4.8174 -5.7586 26.362
  0.68 -4.9012 -5.6415 26.114
  0.69 -4.9665 -5.5367 25.87
  0.70 -5.0162 -5.4444 25.629
  0.71 -5.053 -5.3647 25.391
  0.72 -5.0793 -5.2976 25.155
  0.73 -5.0973 -5.2429 24.923
  0.74 -5.109 -5.2005 24.693
  0.75 -5.1162 -5.1702 24.467
  0.76 -5.1203 -5.1516 24.244
  0.77 -5.1229 -5.1445 24.025
  0.78 -5.125 -5.1485 23.81
  0.79 -5.1279 -5.1634 23.6
  0.80 -5.1324 -5.1887 23.396
  0.81 -5.1394 -5.2242 23.197
  0.82 -5.1496 -5.2695 23.005
  0.83 -5.1636 -5.3242 22.82
  0.84 -5.1819 -5.388 22.642
  0.85 -5.2049 -5.4607 22.473
  0.86 -5.2331 -5.5418 22.312
  0.87 -5.2668 -5.6311 22.16
  0.88 -5.3061 -5.7282 22.019
  0.89 -5.3512 -5.8328 21.888
  0.90 -5.4024 -5.9445 21.768
  0.91 -5.4597 -6.063 21.66
  0.92 -5.5231 -6.1879 21.564
  0.93 -5.5926 -6.3187 21.481
  0.94 -5.6683 -6.455 21.411
  0.95 -5.7499 -6.5962 21.356
  0.96 -5.8375 -6.7419 21.316
  0.97 -5.9307 -6.8913 21.291
  0.98 -6.0295 -7.0438 21.282
  0.99 -6.1335 -7.1985 21.289
  1.00 -6.2424 -7.3547 21.313
  1.01 -6.3558 -7.5113 21.355
  1.02 -6.4733 -7.6674 21.414
  1.03 -6.5945 -7.8219 21.491
  1.04 -6.7186 -7.9734 21.586
  1.05 -6.8452 -8.1207 21.699
  1.06 -6.9735 -8.2624 21.83
  1.07 -7.1027 -8.3971 21.978
  1.08 -7.2321 -8.5232 22.143
  1.09 -7.3606 -8.6393 22.325
  1.10 -7.4875 -8.7437 22.522
  1.11 -7.6115 -8.835 22.733
  1.12 -7.7318 -8.9116 22.957
  1.13 -7.8471 -8.9722 23.192
  1.14 -7.9564 -9.0155 23.437
  1.15 -8.0586 -9.0403 23.689
  1.16 -8.1524 -9.0458 23.945
  1.17 -8.2369 -9.0312 24.205
  1.18 -8.3109 -8.9961 24.464
  1.19 -8.3736 -8.9403 24.721
  1.20 -8.424 -8.8642 24.972
  1.21 -8.4614 -8.7681 25.214
  1.22 -8.4852 -8.6529 25.446
  1.23 -8.4948 -8.5198 25.664
  1.24 -8.4901 -8.3702 25.866
  1.25 -8.4708 -8.2059 26.05
  1.26 -8.4372 -8.0289 26.214
  1.27 -8.3893 -7.8413 26.356
  1.28 -8.3277 -7.6453 26.475
  1.29 -8.2531 -7.4435 26.57
  1.30 -8.1661 -7.2381 26.641
  1.31 -8.0678 -7.0316 26.686
  1.32 -7.9592 -6.8261 26.708
  1.33 -7.8416 -6.6239 26.705
  1.34 -7.7161 -6.4269 26.679
  1.35 -7.5842 -6.2369 26.63
  1.36 -7.4471 -6.0554 26.56
  1.37 -7.3063 -5.8838 26.47
  1.38 -7.1631 -5.7233 26.361
  1.39 -7.0188 -5.5746 26.236
  1.40 -6.8746 -5.4385 26.095
  1.41 -6.7319 -5.3154 25.94
  1.42 -6.5917 -5.2056 25.774
  1.43 -6.455 -5.1093 25.596
  1.44 -6.3229 -5.0264 25.41
  1.45 -6.196 -4.9569 25.216
  1.46 -6.0753 -4.9004 25.016
  1.47 -5.9612 -4.8568 24.811
  1.48 -5.8545 -4.8257 24.603
  1.49 -5.7556 -4.8067 24.393
  1.50 -5.6649 -4.7993 24.181
  1.51 -5.5826 -4.8033 23.969
  1.52 -5.5091 -4.8182 23.759
  1.53 -5.4445 -4.8436 23.55
  1.54 -5.3889 -4.8791 23.345
  1.55 -5.3425 -4.9243 23.143
  1.56 -5.3053 -4.9789 22.945
  1.57 -5.2773 -5.0426 22.753
  1.58 -5.2584 -5.1151 22.568
  1.59 -5.2486 -5.1961 22.389
  1.60 -5.2478 -5.2852 22.218
  1.61 -5.256 -5.3823 22.055
  1.62 -5.273 -5.487 21.902
  1.63 -5.2988 -5.5992 21.758
  1.64 -5.3331 -5.7185 21.625
  1.65 -5.3758 -5.8447 21.503
  1.66 -5.4268 -5.9775 21.393
  1.67 -5.4859 -6.1165 21.296
  1.68 -5.5529 -6.2614 21.213
  1.69 -5.6275 -6.4117 21.144
  1.70 -5.7096 -6.5671 21.089
  1.71 -5.7989 -6.7268 21.05
  1.72 -5.8951 -6.8904 21.027
  1.73 -5.9979 -7.0571 21.022
  1.74 -6.1068 -7.2262 21.033
  1.75 -6.2216 -7.3968 21.063
  1.76 -6.3417 -7.5678 21.111
  1.77 -6.4666 -7.7383 21.179
  1.78 -6.5958 -7.9069 21.265
  1.79 -6.7286 -8.0724 21.371
  1.80 -6.8643 -8.2333 21.497
  1.81 -7.0022 -8.3882 21.641
  1.82 -7.1412 -8.5353 21.805
  1.83 -7.2807 -8.6731 21.988
  1.84 -7.4194 -8.7999 22.189
  1.85 -7.5564 -8.9137 22.406
  1.86 -7.6905 -9.013 22.639
  1.87 -7.8205 -9.0961 22.886
  1.88 -7.9452 -9.1612 23.146
  1.89 -8.0633 -9.2071 23.415
  1.90 -8.1735 -9.2323 23.693
  1.91 -8.2746 -9.2358 23.976
  1.92 -8.3653 -9.2168 24.261
  1.93 -8.4445 -9.1749 24.546
  1.94 -8.5111 -9.1099 24.828
  1.95 -8.564 -9.0221 25.103
  1.96 -8.6024 -8.9121 25.368
  1.97 -8.6257 -8.7809 25.621
  1.98 -8.6333 -8.63 25.857
  1.99 -8.625 -8.4609 26.076
  2.00 -8.6005 -8.2759 26.273
  2.01 -8.5601 -8.0773 26.448
  2.02 -8.5041 -7.8674 26.597
  2.03 -8.433 -7.6491 26.721
  2.04 -8.3476 -7.425 26.818
  2.05 -8.2488 -7.1979 26.888
  2.06 -8.1378 -6.9704 26.93
  2.07 -8.0158 -6.7451 26.946
  2.08 -7.8842 -6.5244 26.934
  2.09 -7.7443 -6.3103 26.897
  2.10 -7.5979 -6.1049 26.836
  2.11 -7.4463 -5.9097 26.752
  2.12 -7.2911 -5.7262 26.647
  2.13 -7.1338 -5.5554 26.522
  2.14 -6.9759 -5.3982 26.379
  2.15 -6.8187 -5.2552 26.22
  2.16 -6.6636 -5.1267 26.048
  2.17 -6.5117 -5.013 25.862
  2.18 -6.3642 -4.9141 25.667
  2.19 -6.222 -4.8299 25.462
  2.20 -6.086 -4.76 25.25
  2.21 -5.957 -4.7042 25.032
  2.22 -5.8357 -4.662 24.809
  2.23 -5.7225 -4.633 24.584
  2.24 -5.6179 -4.6168 24.357
  2.25 -5.5223 -4.6128 24.129
  2.26 -5.4361 -4.6206 23.901
  2.27 -5.3593 -4.6397 23.675
  2.28 -5.2922 -4.6697 23.452
  2.29 -5.2348 -4.71 23.232
  2.30 -5.1873 -4.7605 23.016
  2.31 -5.1495 -4.8206 22.805
  2.32 -5.1215 -4.89 22.601
  2.33 -5.1032 -4.9684 22.402
  2.34 -5.0945 -5.0556 22.212
  2.35 -5.0953 -5.1513 22.029
  2.36 -5.1056 -5.2553 21.856
  2.37 -5.1252 -5.3672 21.692
  2.38 -5.154 -5.4869 21.539
  2.39 -5.1918 -5.6142 21.396
  2.40 -5.2384 -5.7488 21.266
  2.41 -5.2938 -5.8904 21.148
  2.42 -5.3577 -6.0387 21.044
  2.43 -5.4299 -6.1934 20.954
  2.44 -5.5103 -6.3541 20.879
  2.45 -5.5986 -6.5203 20.819
  2.46 -5.6946 -6.6916 20.776
  2.47 -5.7979 -6.8674 20.75
  2.48 -5.9083 -7.0468 20.743
  2.49 -6.0255 -7.2292 20.754
  2.50 -6.1489 -7.4136 20.784
  2.51 -6.2783 -7.5991 20.834
  2.52 -6.4129 -7.7843 20.905
  2.53 -6.5523 -7.9682 20.997
  2.54 -6.6958 -8.1491 21.109
  2.55 -6.8427 -8.3257 21.243
  2.56 -6.9921 -8.4961 21.399
  2.57 -7.1432 -8.6587 21.576
  2.58 -7.2949 -8.8115 21.773
  2.59 -7.4462 -8.9527 21.99
  2.60 -7.5958 -9.0801 22.226
  2.61 -7.7426 -9.1918 22.48
  2.62 -7.8852 -9.2859 22.75
  2.63 -8.0223 -9.3604 23.034
  2.64 -8.1523 -9.4136 23.329
  2.65 -8.274 -9.444 23.634
  2.66 -8.3859 -9.4503 23.946
  2.67 -8.4865 -9.4316 24.26
  2.68 -8.5745 -9.3871 24.575
  2.69 -8.6486 -9.3167 24.886
  2.70 -8.7077 -9.2206 25.19
  2.71 -8.7509 -9.0995 25.483
  2.72 -8.7772 -8.9546 25.762
  2.73 -8.7862 -8.7873 26.023
  2.74 -8.7774 -8.5997 26.264
  2.75 -8.7506 -8.3942 26.482
  2.76 -8.7062 -8.1735 26.673
  2.77 -8.6443 -7.9404 26.837
  2.78 -8.5656 -7.6981 26.972
  2.79 -8.4711 -7.4496 27.077
  2.80 -8.3617 -7.1982 27.151
  2.81 -8.2388 -6.9469 27.195
  2.82 -8.1038 -6.6986 27.208
  2.83 -7.9583 -6.4559 27.192
  2.84 -7.8039 -6.2212 27.149
  2.85 -7.6424 -5.9967 27.078
  2.86 -7.4754 -5.7842 26.983
  2.87 -7.3047 -5.5851 26.864
  2.88 -7.132 -5.4005 26.725
  2.89 -6.9589 -5.2313 26.566
  2.90 -6.787 -5.078 26.391
  2.91 -6.6176 -4.941 26.201
  2.92 -6.4521 -4.8203 25.997
  2.93 -6.2916 -4.7158 25.783
  2.94 -6.1372 -4.6273 25.56
  2.95 -5.9899 -4.5544 25.329
  2.96 -5.8504 -4.4966 25.093
  2.97 -5.7193 -4.4534 24.852
  2.98 -5.5974 -4.4242 24.609
  2.99 -5.4848 -4.4085 24.364
  3.00 -5.3822 -4.4057 24.118
  3.01 -5.2896 -4.4151 23.874
  3.02 -5.2073 -4.4363 23.631
  3.03 -5.1354 -4.4688 23.391
  3.04 -5.074 -4.5121 23.154
  3.05 -5.0231 -4.5658 22.923
  3.06 -4.9825 -4.6294 22.696
  3.07 -4.9524 -4.7026 22.476
  3.08 -4.9326 -4.7852 22.263
  3.09 -4.9229 -4.8768 22.058
  3.10 -4.9233 -4.9772 21.861
  3.11 -4.9336 -5.0862 21.674
  3.12 -4.9538 -5.2036 21.497
  3.13 -4.9835 -5.3292 21.33
  3.14 -5.0228 -5.4627 21.175
  3.15 -5.0715 -5.6041 21.032
  3.16 -5.1293 -5.7531 20.902
  3.17 -5.1962 -5.9093 20.786
