# TOPENI --- model regulace ohøívání
# Time   temp
0.00     0 1
0.10     0.000498005 1
0.20     0.00198408 1
0.30     0.00444642 1
0.40     0.00787331 1
0.50     0.0122532 1
0.60     0.0175746 1
0.70     0.0238262 1
0.80     0.0309968 1
0.90     0.0390753 1
1.00     0.0480506 1
1.10     0.057912 1
1.20     0.0686486 1
1.30     0.0802498 1
1.40     0.092705 1
1.50     0.106004 1
1.60     0.120136 1
1.70     0.135091 1
1.80     0.150859 1
1.90     0.16743 1
2.00     0.184794 1
2.10     0.202942 1
2.20     0.221863 1
2.30     0.241547 1
2.40     0.261987 1
2.50     0.283171 1
2.60     0.305091 1
2.70     0.327737 1
2.80     0.351101 1
2.90     0.375173 1
3.00     0.399944 1
3.10     0.425407 1
3.20     0.45155 1
3.30     0.478368 1
3.40     0.505849 1
3.50     0.533987 1
3.60     0.562773 1
3.70     0.592198 1
3.80     0.622255 1
3.90     0.652934 1
4.00     0.684229 1
4.10     0.716131 1
4.20     0.748632 1
4.30     0.781724 1
4.40     0.8154 1
4.50     0.849653 1
4.60     0.884474 1
4.70     0.919856 1
4.80     0.955791 1
4.90     0.992273 1
5.00     1.02929 1
5.10     1.06685 1
5.20     1.10493 1
5.30     1.14352 1
5.40     1.18263 1
5.50     1.22224 1
5.60     1.26235 1
5.70     1.30295 1
5.80     1.34403 1
5.90     1.38559 1
6.00     1.42762 1
6.10     1.47011 1
6.20     1.51307 1
6.30     1.55647 1
6.40     1.60032 1
6.50     1.64461 1
6.60     1.68933 1
6.70     1.73448 1
6.80     1.78005 1
6.90     1.82603 1
7.00     1.87243 1
7.10     1.91922 1
7.20     1.96642 1
7.30     2.01401 1
7.40     2.06198 1
7.50     2.11033 1
7.60     2.15906 1
7.70     2.20816 1
7.80     2.25763 1
7.90     2.30745 1
8.00     2.35763 1
8.10     2.40815 1
8.20     2.45902 1
8.30     2.51023 1
8.40     2.56177 1
8.50     2.61364 1
8.60     2.66583 1
8.70     2.71834 1
8.80     2.77116 1
8.90     2.8243 1
9.00     2.87773 1
9.10     2.93147 1
9.20     2.9855 1
9.30     3.03982 1
9.40     3.09443 1
9.50     3.14932 1
9.60     3.20448 1
9.70     3.25992 1
9.80     3.31562 1
9.90     3.37159 1
10.00    3.42782 1
10.10    3.4843 1
10.20    3.54104 1
10.30    3.59802 1
10.40    3.65524 1
10.50    3.71271 1
10.60    3.7704 1
10.70    3.82833 1
10.80    3.88649 1
10.90    3.94487 1
