# RC circuit simulation output
 0.000 5 0 0.005
 0.010 5.0314 0.0499073 0.00498149
 0.020 5.06267 0.09963 0.00496304
 0.030 5.09369 0.149168 0.00494452
 0.040 5.12434 0.19852 0.00492583
 0.050 5.15451 0.247683 0.00490683
 0.060 5.18406 0.296655 0.00488741
 0.070 5.21289 0.34543 0.00486746
 0.080 5.24088 0.394002 0.00484687
 0.090 5.26791 0.442365 0.00482555
 0.100 5.29389 0.49051 0.00480338
 0.110 5.31871 0.538429 0.00478028
 0.120 5.34227 0.586112 0.00475616
 0.130 5.36448 0.633549 0.00473094
 0.140 5.38526 0.680727 0.00470453
 0.150 5.40451 0.727635 0.00467687
 0.160 5.42216 0.77426 0.0046479
 0.170 5.43815 0.820589 0.00461756
 0.180 5.45241 0.866607 0.00458581
 0.190 5.46489 0.9123 0.00455259
 0.200 5.47553 0.957654 0.00451787
 0.210 5.48429 1.00265 0.00448164
 0.220 5.49114 1.04728 0.00444386
 0.230 5.49606 1.09152 0.00440453
 0.240 5.49901 1.13537 0.00436365
 0.250 5.5 1.17879 0.00432121
 0.260 5.49901 1.22179 0.00427723
 0.270 5.49606 1.26433 0.00423173
 0.280 5.49114 1.30642 0.00418473
 0.290 5.48429 1.34802 0.00413627
 0.300 5.47553 1.38914 0.00408639
 0.310 5.46489 1.42974 0.00403514
 0.320 5.45241 1.46983 0.00398258
 0.330 5.43815 1.50939 0.00392876
 0.340 5.42216 1.54841 0.00387376
 0.350 5.40451 1.58686 0.00381764
 0.360 5.38526 1.62476 0.0037605
 0.370 5.36448 1.66207 0.00370241
 0.380 5.34227 1.6988 0.00364347
 0.390 5.31871 1.73494 0.00358377
 0.400 5.29389 1.77047 0.00352342
 0.410 5.26791 1.8054 0.00346251
 0.420 5.24088 1.83972 0.00340115
 0.430 5.21289 1.87343 0.00333946
 0.440 5.18406 1.90651 0.00327755
 0.450 5.15451 1.93898 0.00321553
 0.460 5.12434 1.97082 0.00315352
 0.470 5.09369 2.00205 0.00309164
 0.480 5.06267 2.03266 0.00303001
